"country","state","lat","long","week","population","confirmed","death","prevalence","log_prevalence","prev_day_total","new_cases","incidence","log_incidence","prev_day_actual"
"US","Indiana",39.802340895,-86.18347617,2020-04-06,6732219,7928,343,0.00117762063295921,-2.29087768657435,4411,3517,0.000522413189469921,-2.29737455953691,2898
"US","Indiana",39.802340895,-86.18347617,2020-04-13,6732219,11211,562,0.00166527559486701,-2.28606947380988,7928,3283,0.000487654961907805,-2.29772039522791,3517
"US","Indiana",39.802340895,-86.18347617,2020-04-20,6732219,15012,813,0.00222987398360036,-2.28053133488931,11211,3801,0.000564598388733343,-2.29695498793404,3283
"US","Indiana",39.802340895,-86.18347617,2020-04-27,6732219,19933,1246,0.00296083653844297,-2.27340659083952,15012,4921,0.000730962554842616,-2.29530205328205,3801
"US","Indiana",39.802340895,-86.18347617,2020-05-04,6732219,24126,1379,0.00358366238531456,-2.267375660576,19933,4193,0.000622825846871589,-2.29637614996755,4921
"US","Indiana",39.802340895,-86.18347617,2020-05-11,6732219,27778,1607,0.00412612839837801,-2.26215234159464,24126,3652,0.000542466013063449,-2.29717509333735,4193
"US","Indiana",39.802340895,-86.18347617,2020-05-18,6732219,31376,1824,0.00466057328200405,-2.25703280048759,27778,3598,0.000534444883626038,-2.29725487504283,3652
"US","Indiana",39.802340895,-86.18347617,2020-05-25,6732219,34574,1967,0.00513560239201963,-2.25250431067806,31376,3198,0.000475029110015583,-2.29784604892295,3598
"US","Indiana",39.802340895,-86.18347617,2020-06-01,6732219,37397,2121,0.00555492921427541,-2.24852380550087,34574,2823,0.000419326822255782,-2.29840059202028,3198
"US","Indiana",39.802340895,-86.18347617,2020-06-08,6732219,39909,2240,0.00592806027254907,-2.2449950919494,37397,2512,0.000373131058273654,-2.29886072648234,2823
"US","Indiana",39.802340895,-86.18347617,2020-06-15,6732219,42423,2350,0.00630148840969077,-2.24147599175963,39909,2514,0.000373428137141706,-2.29885776674177,2512
"US","Indiana",39.802340895,-86.18347617,2020-06-22,6732219,44930,2427,0.0066738767707943,-2.2379789794147,42423,2507,0.000372388361103523,-2.2988681258721,2514
"US","Indiana",39.802340895,-86.18347617,2020-06-29,6732219,48008,2500,0.00713108114872674,-2.23370213682611,44930,3078,0.000457204377932447,-2.29802346925836,2507
"US","Indiana",39.802340895,-86.18347617,2020-07-06,6732219,51612,2567,0.00766641726895694,-2.22871756081767,48008,3604,0.000535336120230194,-2.29724601009455,3078
"US","Indiana",39.802340895,-86.18347617,2020-07-13,6732219,56571,2629,0.00840302432229255,-2.22189929071363,51612,4959,0.000736607053335609,-2.29524601946474,3604
"US","Indiana",39.802340895,-86.18347617,2020-07-20,6732219,62372,2706,0.00926470157907816,-2.21398188583038,56571,5801,0.000861677256785616,-2.29400523291813,4959
"US","Indiana",39.802340895,-86.18347617,2020-07-27,6732219,67857,2775,0.0100794403747115,-2.20655298861534,62372,5485,0.000814738795633357,-2.29447071582306,5801
"US","Indiana",39.802340895,-86.18347617,2020-08-03,6732219,74328,2835,0.0110406390522946,-2.19785902708625,67857,6471,0.000961198677583127,-2.29301900746274,5485
"US","Indiana",39.802340895,-86.18347617,2020-08-10,6732219,80415,2924,0.0119447985872117,-2.1897493989443,74328,6087,0.000904159534917091,-2.29358412814207,6471
"US","Indiana",39.802340895,-86.18347617,2020-08-17,6732219,85932,3003,0.0127642906447339,-2.18245556233622,80415,5517,0.000819492057522193,-2.2944235684526,6087
"US","Indiana",39.802340895,-86.18347617,2020-08-24,6732219,93313,3072,0.0138606602072808,-2.17277985706322,85932,7381,0.00109636956254691,-2.29168106297191,5517
"US","Indiana",39.802340895,-86.18347617,2020-08-31,6732219,99804,3140,0.0148248296735445,-2.16434753212828,93313,6491,0.00096416946626365,-2.29298958284206,7381
