"country","state","lat","long","week","population","confirmed","death","prevalence","log_prevalence","prev_day_total","new_cases","incidence","log_incidence","prev_day_actual","time","time_sq","prev_log_prevalence","logit_prevalence","log_death","prev_log_death","new_death","log_new_death","prev_log_new_death","prevalence_country","log_prevalence_country","prev_log_prevalence_country","y_fitted_logit_prev","resid_logit_prev","y_fitted_log_prev","resid_log_prev"
"US","New Mexico",34.71669834,-105.8508949,"2020-05-25",2096829,7462,356,0.00355870698087445,-2.26761660987707,6755,707,0.00033717580212788,-2.29921900660351,898,0.422222222222222,0.178271604938272,-2.27087781224305,-2.26749388871027,5.87521159028373,5.7592171815443,39,3.66612246699132,3.95316494875932,0.00543983704577815,-2.24961475369785,-2.24961475369785,-2.18928533681243,0.0782085518978328,-2.18962205723396,0.0779945526431063
"US","New Mexico",34.71669834,-105.8508949,"2020-06-01",2096829,8332,395,0.00397361921263012,-2.26361807343528,7462,870,0.000414912231755665,-2.29844455454899,707,0.444444444444444,0.197530864197531,-2.26761660987707,-2.26346561713201,5.97913889741734,5.87521159028373,39,3.66612246699132,3.66612246699132,0.00587603759865522,-2.24548632583451,-2.24548632583451,-2.25554062154381,0.00792499558819992,-2.25569895785367,0.0079191155816134
"US","New Mexico",34.71669834,-105.8508949,"2020-06-08",2096829,9044,435,0.00431317956781407,-2.26035756285091,8332,712,0.000339560355183947,-2.29919524148652,870,0.466666666666667,0.217777777777778,-2.26361807343528,-2.26017846340385,6.07557588972663,5.97913889741734,40,3.69137633431252,3.66612246699132,0.00633007626971377,-2.24120709602688,-2.24120709602688,-2.2624999220516,-0.00232145864774136,-2.2626205058151,-0.00226294296418539
"US","New Mexico",34.71669834,-105.8508949,"2020-06-15",2096829,9702,469,0.00462698674999249,-2.25735376110555,9044,658,0.000313807182178423,-2.29945193464311,712,0.488888888888889,0.239012345679012,-2.26035756285091,-2.25714820882664,6.15081596533441,6.07557588972663,34,3.52929738428947,3.69137633431252,0.00689649233299148,-2.23589427409012,-2.23589427409012,-2.31472550032231,-0.0575772914956718,-2.31471308379231,-0.0573593226867612
"US","New Mexico",34.71669834,-105.8508949,"2020-06-22",2096829,10910,492,0.00520309476833829,-2.25186256116124,9702,1208,0.000576108018345797,-2.29684054437032,658,0.511111111111111,0.261234567901235,-2.25735376110555,-2.25160391599537,6.19868194787193,6.15081596533441,23,3.13983261752775,3.52929738428947,0.00770948299439257,-2.22831764860877,-2.22831764860877,-2.26859613716101,-0.016992221165633,-2.26873689223522,-0.0168743310739767
"US","New Mexico",34.71669834,-105.8508949,"2020-06-29",2096829,12331,513,0.00588078474687254,-2.24544148998776,10910,1421,0.000677689978534253,-2.29583105317238,1208,0.533333333333333,0.284444444444444,-2.25186256116124,-2.24511298375743,6.24047075794792,6.19868194787193,21,3.04927304048202,3.13983261752775,0.00874139962945644,-2.2187826960077,-2.2187826960077,-2.27845126772758,-0.0333382839701555,-2.27862196394094,-0.0331804739531831
"US","New Mexico",34.71669834,-105.8508949,"2020-07-06",2096829,14092,545,0.00672062433321935,-2.2375408466331,12331,1761,0.000839839586346812,-2.29422176743771,1421,0.555555555555556,0.308641975308642,-2.24544148998776,-2.23711484922427,6.30096926407024,6.24047075794792,32,3.46885603013597,3.04927304048202,0.00998937370486332,-2.20737152053912,-2.20737152053912,-2.25251547834586,-0.0154006291215874,-2.25285592597454,-0.0153150793414416
"US","New Mexico",34.71669834,-105.8508949,"2020-07-13",2096829,16016,571,0.00763820034919395,-2.22897967242713,14092,1924,0.000917576015974598,-2.29345117436442,1761,0.577777777777778,0.333827160493827,-2.2375408466331,-2.22843362917047,6.34756432567082,6.30096926407024,26,3.26193531432865,3.46885603013597,0.0113915390915525,-2.19470390507755,-2.19470390507755,-2.23397706380516,-0.00554343463468765,-2.23450247577223,-0.00552280334510247
"US","New Mexico",34.71669834,-105.8508949,"2020-07-20",2096829,18061,614,0.00861348254912537,-2.2199597304853,16016,2045,0.00097528219993142,-2.29287952278607,1924,0.6,0.36,-2.22897967242713,-2.21927094936653,6.42015778133535,6.34756432567082,43,3.7635229971097,3.26193531432865,0.0127721476644133,-2.18238588827609,-2.18238588827609,-2.25787661530029,-0.0386056659337606,-2.25846911018625,-0.0385093797009506
"US","New Mexico",34.71669834,-105.8508949,"2020-07-27",2096829,19751,654,0.00941946148207603,-2.21256651192614,18061,1690,0.00080597893295066,-2.2945576102929,2045,0.622222222222222,0.387160493827161,-2.2199597304853,-2.21174825424611,6.48326024496717,6.42015778133535,40,3.69137633431252,3.7635229971097,0.014078636149778,-2.17086727759643,-2.17086727759643,-2.19727041197279,0.014477842273326,-2.19816969563028,0.0143968162958572
"US","New Mexico",34.71669834,-105.8508949,"2020-08-03",2096829,21013,685,0.0100213226734274,-2.20708108948904,19751,1262,0.000601861191351321,-2.29658452057957,1690,0.644444444444444,0.415308641975309,-2.21256651192614,-2.20615947933869,6.52956481300885,6.48326024496717,31,3.43720781918519,3.69137633431252,0.0152049880821921,-2.16104223233315,-2.16104223233315,-2.20902454965613,-0.00286507031744732,-2.20999040042232,-0.00290931093327584
"US","New Mexico",34.71669834,-105.8508949,"2020-08-10",2096829,22103,714,0.01054115523965,-2.20236738175729,21013,1090,0.000519832566222615,-2.29740023198439,1262,0.666666666666667,0.444444444444444,-2.20708108948904,-2.20135198873173,6.57102300855506,6.52956481300885,29,3.37073817417745,3.43720781918519,0.01628192968108,-2.15173760830463,-2.15173760830463,-2.21681622510956,-0.0154642363778255,-2.21784399597534,-0.0154766142180467
"US","New Mexico",34.71669834,-105.8508949,"2020-08-17",2096829,23080,745,0.0110070969068055,-2.19816114361628,22103,977,0.0004659416671555,-2.29793649780285,1090,0.688888888888889,0.474567901234568,-2.20236738175729,-2.19705817759907,6.61351843755968,6.57102300855506,31,3.43720781918519,3.37073817417745,0.0171826827830043,-2.14402117058068,-2.14402117058068,-2.17294400995136,0.0241141676477086,-2.17415483591379,0.0240063077024866
"US","New Mexico",34.71669834,-105.8508949,"2020-08-24",2096829,23963,770,0.0114282089765069,-2.19437476113404,23080,883,0.00042111206970144,-2.29838281425146,977,0.711111111111111,0.505679012345679,-2.19816114361628,-2.19318982306771,6.6465203765452,6.61351843755968,25,3.22286784613774,3.43720781918519,0.0180636222096847,-2.13653162854856,-2.13653162854856,-2.16508389382983,0.0281059292378814,-2.16637280061373,0.0280019605203061
"US","New Mexico",34.71669834,-105.8508949,"2020-08-31",2096829,24786,803,0.0118207064095355,-2.19085852602266,23963,823,0.000392497433028635,-2.29866780127935,883,0.733333333333333,0.537777777777778,-2.19437476113404,-2.18959479561238,6.68847923919442,6.6465203765452,33,3.49953328238302,3.22286784613774,0.0189224971716506,-2.12928328232018,-2.12928328232018,-2.17070918768831,0.0188856079240747,-2.17204586809545,0.0188126579272114
"US","New Mexico",34.71669834,-105.8508949,"2020-09-07",2096829,25434,823,0.0121297444856018,-2.18809864524554,24786,648,0.000309038076066289,-2.29949947764457,823,0.755555555555556,0.570864197530864,-2.19085852602266,-2.18677126822405,6.7130776999786,6.68847923919442,20,3.00071981506503,3.49953328238302,0.0196576337592194,-2.12312066591727,-2.12312066591727,-2.22109252960839,-0.0343212613843358,-2.22233590139669,-0.0342372561511515
"US","New Mexico",34.71669834,-105.8508949,"2020-09-14",2096829,26218,849,0.0125036424047931,-2.18476968093029,25434,784,0.000373897919191312,-2.29885308640995,648,0.777777777777778,0.604938271604938,-2.18809864524554,-2.18336342099956,6.74417696500532,6.7130776999786,26,3.26193531432865,3.00071981506503,0.0205142640479905,-2.11598715921481,-2.11598715921481,-2.1352938101482,0.0480696108513565,-2.13688392449293,0.0478857564373611
"US","New Mexico",34.71669834,-105.8508949,"2020-09-21",2096829,27466,870,0.0130988268475875,-2.17949326861424,26218,1248,0.000595184442794334,-2.29665089082411,784,0.8,0.64,-2.18476968093029,-2.17795723949098,6.76860814757198,6.74417696500532,21,3.04927304048202,3.26193531432865,0.0214332191865025,-2.10839080363203,-2.10839080363203,-2.14804851828407,0.0299087212069105,-2.1497555982359,0.0297376703783434
"US","New Mexico",34.71669834,-105.8508949,"2020-09-28",2096829,29094,892,0.0138752373226429,-2.17265183934146,27466,1628,0.000776410475055429,-2.29485097379747,1248,0.822222222222222,0.676049382716049,-2.17949326861424,-2.17093887760301,6.79357823391974,6.76860814757198,22,3.09557760852371,3.04927304048202,0.0223366665078881,-2.10097847330837,-2.10097847330837,-2.20258734209505,-0.0316484644920396,-2.20433102054524,-0.0316791812037791
"US","New Mexico",34.71669834,-105.8508949,"2020-10-05",2096829,31548,911,0.0150455759625606,-2.16242691641211,29094,2454,0.0011703386399177,-2.29094966153343,1628,0.844444444444444,0.713086419753086,-2.17265183934146,-2.1604312031571,6.81465266071981,6.79357823391974,19,2.94968833505258,3.09557760852371,0.0233818279380564,-2.09247143979689,-2.09247143979689,-2.16197747596002,-0.00154627280292141,-2.16412399194625,-0.00169707553413945
"US","New Mexico",34.71669834,-105.8508949,"2020-10-12",2096829,35253,934,0.0168125297771063,-2.14718493885269,31548,3705,0.00176695381454568,-2.2850698462834,2454,0.866666666666667,0.751111111111111,-2.16242691641211,-2.14472679960551,6.8395834988788,6.81465266071981,23,3.13983261752775,2.94968833505258,0.0245634067822207,-2.08294040129878,-2.08294040129878,-2.08614434309223,0.0585824565132729,-2.08890154783752,0.0582833910151699
"US","New Mexico",34.71669834,-105.8508949,"2020-10-19",2096829,40165,967,0.0191551146993865,-2.1273291498007,35253,4912,0.00234258492228026,-2.27942941774281,3705,0.888888888888889,0.790123456790123,-2.14718493885269,-2.12419459652589,6.87430190272292,6.8395834988788,33,3.49953328238302,3.13983261752775,0.0260369766299795,-2.07117994976588,-2.07117994976588,-2.11273041198068,0.0114641845452073,-2.1160032835961,0.0113258662046021
"US","New Mexico",34.71669834,-105.8508949,"2020-10-26",2096829,45448,1026,0.021674633458427,-2.10640473573129,40165,5283,0.00251951875904044,-2.27770207161511,4912,0.911111111111111,0.830123456790123,-2.1273291498007,-2.10246592981885,6.93352048686816,6.87430190272292,59,4.07923092441205,3.49953328238302,0.0277598550511153,-2.05760290961645,-2.05760290961645,-2.05844246109229,0.0440234687265533,-2.06265786661276,0.0437468691185257
"US","New Mexico",34.71669834,-105.8508949,"2020-11-02",2096829,52784,1118,0.0251732497022886,-2.07805650366965,45448,7336,0.00349861624386156,-2.26819703599061,5283,0.933333333333333,0.871111111111111,-2.10640473573129,-2.07287668765915,7.01938609515332,6.93352048686816,92,4.52287494326126,4.07923092441205,0.0301868360767399,-2.03878465972055,-2.03878465972055,-2.04489495243662,0.0279817352225296,-2.05040002812479,0.0276564755448625
"US","New Mexico",34.71669834,-105.8508949,"2020-11-09",2096829,61939,1215,0.0295393663479473,-2.04377045679447,52784,9155,0.00436611664565875,-2.25985020941489,7336,0.955555555555556,0.913086419753086,-2.07805650366965,-2.03685342489804,7.10258165691457,7.01938609515332,97,4.57574137529728,4.52287494326126,0.0333112804895428,-2.01506843055017,-2.01506843055017,-1.99032878730479,0.0465246375932513,-1.99791351285827,0.0458569439362027
"US","New Mexico",34.71669834,-105.8508949,"2020-11-16",2096829,79404,1383,0.0378686101727895,-1.9814541475574,61939,17465,0.00832924382484218,-2.22258013534218,9155,0.977777777777778,0.956049382716049,-2.04377045679447,-1.9707013389419,7.23208263563066,7.10258165691457,168,5.12455904041457,4.57574137529728,0.0369242134964823,-1.98832769237499,-1.98832769237499,-2.00444740607044,-0.0337460671285381,-2.01491412103544,-0.0334599734780356
"US","New Mexico",34.71669834,-105.8508949,"2020-11-23",2096829,92801,1540,0.0442577816312155,-1.93615342959856,79404,13397,0.00638917145842603,-2.24065147926099,17465,1,1,-1.9814541475574,-1.92204650379796,7.33960262836442,7.23208263563066,157,5.05688254526158,5.12455904041457,0.0403528600573849,-1.96359559834565,-1.96359559834565,-1.96666039742863,-0.0446138936306719,-1.97996165486935,-0.043808225270785
"US","New York",42.634990315,-74.99930354,"2020-01-20",19453561,0,0,0,-2.30258509299405,0,0,0,-2.30258509299405,0,0.0222222222222222,0.000493827160493827,-2.30258509299405,-2.30258509299405,-2.30258509299405,-2.30258509299405,0,-2.30258509299405,-2.30258509299405,1.52906893377925e-08,-2.30258494008716,-2.30258494008716,-2.28799041829619,0.0145946746978591,-2.2879667137524,0.0146183792416537
"US","New York",42.634990315,-74.99930354,"2020-01-27",19453561,0,0,0,-2.30258509299405,0,0,0,-2.30258509299405,0,0.0444444444444444,0.00197530864197531,-2.30258509299405,-2.30258509299405,-2.30258509299405,-2.30258509299405,0,-2.30258509299405,-2.30258509299405,2.44651029404681e-08,-2.30258484834305,-2.30258484834305,-2.28940294869534,0.013182144298705,-2.28937385944908,0.0132112335449714
"US","New York",42.634990315,-74.99930354,"2020-02-03",19453561,0,0,0,-2.30258509299405,0,0,0,-2.30258509299405,0,0.0666666666666667,0.00444444444444444,-2.30258509299405,-2.30258509299405,-2.30258509299405,-2.30258509299405,0,-2.30258509299405,-2.30258509299405,3.66976544107021e-08,-2.30258472601757,-2.30258472601757,-2.28107170835986,0.0215133846341904,-2.28107746645817,0.0215076265358771
"US","New York",42.634990315,-74.99930354,"2020-02-10",19453561,0,0,0,-2.30258509299405,0,0,0,-2.30258509299405,0,0.0888888888888889,0.00790123456790123,-2.30258509299405,-2.30258509299405,-2.30258509299405,-2.30258509299405,0,-2.30258509299405,-2.30258509299405,4.28139301458191e-08,-2.30258466485484,-2.30258466485484,-2.31069620432537,-0.00811111133132147,-2.31062107435415,-0.00803598136010208
"US","New York",42.634990315,-74.99930354,"2020-02-17",19453561,0,0,0,-2.30258509299405,0,0,0,-2.30258509299405,0,0.111111111111111,0.0123456790123457,-2.30258509299405,-2.30258509299405,-2.30258509299405,-2.30258509299405,0,-2.30258509299405,-2.30258509299405,4.89302058809361e-08,-2.30258460369211,-2.30258460369211,-2.29188830782122,0.0106967851728275,-2.29186190499908,0.0107231879949699
"US","New York",42.634990315,-74.99930354,"2020-02-24",19453561,0,0,0,-2.30258509299405,0,0,0,-2.30258509299405,0,0.133333333333333,0.0177777777777778,-2.30258509299405,-2.30258509299405,-2.30258509299405,-2.30258509299405,0,-2.30258509299405,-2.30258509299405,9.78604117618723e-08,-2.30258411439041,-2.30258411439041,-2.27781543029251,0.0247696627015404,-2.27782518413318,0.0247599088608674
"US","New York",42.634990315,-74.99930354,"2020-03-02",19453561,105,0,5.39746938876641e-06,-2.30253111975674,0,105,5.39746938876641e-06,-2.30253111975674,0,0.155555555555556,0.0241975308641975,-2.30258509299405,-2.30253111946543,-2.30258509299405,-2.30258509299405,0,-2.30258509299405,-2.30258509299405,1.58411541539531e-06,-2.30256925196536,-2.30256925196536,-2.33999228028657,-0.0374611608211444,-2.33983573585437,-0.0373046160976291
